key	en	ru	fr	ko	ar
stat.cat-show-all	Show All	Показать Все	Afficher tout	모두 보이기	عرض الكل
stat.cat-change-order	Change Order	Изменить Порядок	Change l'ordre	주문 변경	تغيير الترتيب
stat.cat-userscore	My Rating	Моя Оценка	Mon classement	내 평가	تقييمي
stat.cat-rating	Movie Rating	Рейтинг Фильма	Classement du film	영화 평점	تقييم الفيلم
stat.last	Last	Последние	Dernier	마지막	آخر
stat.last-24	24 Hours	24 Часа	24 heures	24 시간	24 ساعة
stat.last-7	Week	Неделя	Semaine	주	أسبوع
stat.last-m	Month	Месяц	Mois	월	شهر
stat.last-y	Year	Год	Année	년도	سنة
stat.last-all	All Time	Все Время	Tout le temps	모든 시간	كل الوقت
stat.empty-msg	To view statistics rate several films	Для просмотра статистики оцените несколько фильмов	Pour consulter les statistiques, notez plusieurs films	여러 영화의 통계 평가를 보려면	لعرض الإحصائيات معدل العديد من الأفلام
stat.pie-empty-msg	There is no statistics on the selected parameters	Статистика по выбранным параметрам отсутствует	Il n'y a pas de statistiques sur les paramètres sélectionnés	선택한 매개변수에 대한 통계가 없습니다.	لا توجد إحصائيات حول المعلمات المحددة
manage.search-name	Search by name	Поиск по имени	Rechercher par nom	이름으로 검색	البحث عن طريق الإسم
manage.displayName	Name	Имя	Nom	이름	اسم
manage.verified	Verified	Подтвержден	Vérifié	확인됨	تم التحقق
manage.isBanned	Banned	Заблокирован	banni	금지됨	محظور
manage.email	Email	Почта	E-mail	이메일	بريد إلكتروني
manage.role	Role	Роль	Rôle	역할	دور
manage.updatedAt	Last Update	Обновлен	Dernière mise à jour	마지막 업데이트	اخر تحديث
manage.createdAt	Created At	Создан	Créé à	생성 날짜	أنشئت في
manage.banMessage	Block message	Сообщение о блокировке	Bloquer le message	메시지 차단	حظر الرسالة
manage.banExpiration	Blocked until	Заблокирован до	Bloqué jusqu'à	차단 기간:	محظور حتى
manage.provider	Provider	Провайдер	Fournisseur	공급자	مزود
manage.delete-photo	Delete profile photo	Удалить фото профиля	Supprimer la photo de profil	프로필 사진 삭제	حذف الصورة الشخصية
manage.info-t	Information about	Информация о	Des informations sur	에 관한 정보	معلومات حول
manage.ban-t	Block user {{displayName}}	Запрет доступа {{displayName}}	Bloquer l'utilisateur {{displayName}}	사용자 {{displayName}} 차단	حظر المستخدم {{displayName}}
manage.change-t	Update {{displayName}}	Изменение {{displayName}}	Mettre à jour {{displayName}}	{{displayName}} 업데이트	تحديث {{displayName}}
manage.unban-t	Unban {{displayName}}	Разблокировать {{displayName}}	Annuler le bannissement de {{displayName}}	{{displayName}} 차단 해제	إلغاء الحظر {{displayName}}
manage.unban-message	Do you really want to unblock	Вы действильно хотите разблокировать	Voulez-vous vraiment débloquer	정말로 차단을 해제하시겠습니까?	هل تريد حقا إلغاء الحظر
manage.t	Unblock	Разблокировать	Débloquer	차단 해제	رفع الحظر
manage.ban-date-default	Select date..	Выберите дату..	Sélectionner une date..	날짜를 선택하세요..	حدد تاريخ..
login.login	Login	Авторизация	Se connecter	로그인	تسجيل الدخول
login.email	E-mail address	Адрес электронной почты	Adresse e-mail	이메일 주소	عنوان البريد الإلكتروني
login.password	Password	Пароль	Mot de passe	비밀번호	كلمة المرور
login.name	Name	Имя	Nom	이름	اسم
login.confirm	Confirm password	Подтверждение пароля	Confirmez le mot de passe	비밀번호 확인	تأكيد كلمة المرور
login.register	Registration	Регистрация	Inscription	등록	تسجيل
login.forget-p	Forget password?	Забыли пароль?	Mot de passe oublié?	비밀번호 분실?	هل نسيت كلمة المرور؟
login.forget-t	Recovery	Восстановление	Récupération	회복	استعادة
login.forget-msg	A link to change your password has been sent to your email.	Ссылка для изменения пароля была отправлена на вашу почту.	Un lien pour changer votre mot de passe a été envoyé à votre email.	비밀번호를 변경할 수 있는 링크가 귀하의 이메일로 전송되었습니다.	تم إرسال رابط لتغيير كلمة المرور الخاصة بك إلى بريدك الإلكتروني.
login.with	Login with	Вход с помощью	Connectez-vous avec	다음으로 로그인	تسجيل الدخول مع
details.will-watch	Will Watch	Буду Смотреть	Regarderai	지켜볼 것이다	سوف أشاهد
details.copy	Copy link	Скопировать ссылку	Copier le lien	링크 복사	نسخ الوصلة
details.show	Show	Показать	Montrer	보여주다	يعرض
details.hide	Hide	Скрыть	Cacher	숨다	يخفي
details.change	Change	Изменить	Changement	변화	يتغير
details.delete	Delete	Удалить	Supprimer	삭제	يمسح
details.your-score	Your Score	Ваша Оценка	Ton score	너의 점수	درجاتك
details.set-rating	Set Rating	Оценить Фильм	Définir la note	등급 설정	تعيين التقييم
details.year	Production year	Год производства	Année de production	생산연도	سنة الإنتاج
details.country	Country	Страна	Pays	국가	دولة
details.genre	Genre	Жанр	Genre	장르	النوع
details.slogan	Tagline	Слоган	Slogan	태그라인	سطر الوصف
details.age-limit	Age	Возраст	Âge	나이	عمر
details.mpaa	MPAA rating	Рейтинг MPAA	Classement MPAA	MPAA 등급	تصنيف الاتحاد الأمريكي للصور المتحركة
details.length	Time	Время	Temps	시간	وقت
details.rate-kp	Kinopoisk rating	Рейтинг Кинопоиск	Note Kinopoisk	키노포스크 등급	تصنيف كينوبويسك
details.count-kp	Estimates	Оценок	Estimations	견적	التقديرات
details.reviews-count	Reviews	Рецензий	Commentaires	리뷰	التعليقات
details.about-movie	About the film	О фильме	À propos du film	영화에 대하여	بخصوص الفيلم
details.min	min.	мин.	min.	분.	دقيقة.
details.descr	Review	Обзор	Revoir	검토	مراجعة
details.images	Images	Изображения	Images	이미지	الصور
details.awards	Awards	Награды	Prix	수상 내역	الجوائز
details.descr-empty	Review not available	Обзор недоступен	Avis non disponible	리뷰를 사용할 수 없습니다.	المراجعة غير متوفرة
details.tag-still	Stills	Кадры	Images fixes	스틸	اللقطات
details.tag-shooting	Shootings	Съёмки	Fusillades	총격 사건	إطلاق النار
details.tag-poster	Posters	Постеры	Affiches	포스터	الملصقات
details.tag-fan-art	Fan art	Фан-арт	Fan-arts	팬 아트	معجب بالفن
details.tag-promo	Promo	Промо	Promotion	프로모션	الترويجي
details.tag-concept	Concepts	Концепты	Concepts	개념	المفاهيم
details.tag-wallpaper	Wallpapers	Обои	Fonds d'écran	배경화면	خلفيات
details.tag-cover	Covers	Обложки	Couvertures	커버	أغلفة
details.tag-screenshot	Screenshots	Скриншоты	Captures d'écran	스크린샷	لقطات الشاشة
details.images-not-found	No images found in <span>{{tag}}</span> category	В категории <span>{{tag}}</span> изображений не найдено	Aucune image trouvée dans la catégorie <span>{{tag}}</span>	<span>{{tag}}</span> 카테고리에 이미지가 없습니다.	لم يتم العثور على صور في فئة <span>{{tag}}</span>
details.images-source	Open the source	Открыть источник	Ouvrir la source	소스 열기	افتح المصدر
details.awards-empty	No awards	Нет наград	Aucune récompense	수상 내역 없음	لا جوائز
details.reviews-empty	Nothing found, try changing parameters	Ничего не найдено, попробуйте изменить параметры	Rien trouvé, essayez de modifier les paramètres	아무것도 찾지 못했습니다. 매개변수를 변경해 보세요.	لم يتم العثور على شيء، حاول تغيير المعلمات
details.awards-winner	Winner	Победитель	Gagnant	우승자	الفائز
details.awards-nomination	Nominations	Номинации	Nominations	후보 추천	الترشيحات
details.rating-t	Movie Rating	Рейтинг фильма	Classement du film	영화 평점	تقييم الفيلم
details.rating-kp	KP	KP	KP	KP	ك.ب
details.rating-imdb	IMDb	IMDb	IMDb	IMDB	شجونه
details.similar-t	If you liked this movie	Если вам понравился этот фильм	Si vous avez aimé ce film	이 영화가 마음에 드셨다면	إذا أعجبك هذا الفيلم
details.reviews-new-first	New First	Сначала Новые	Nouveau premier	새로운 첫 번째	جديد أولا
details.reviews-old-first	Old First	Сначала Старые	Vieux premier	오래된 것부터	القديم أولا
details.reviews-t	Viewer reviews	Рецензии зрителей	Avis des téléspectateurs	시청자 리뷰	مراجعات المشاهدين
verify.error-msg	Unable to verify email address.	Невозможно верифицировать адрес электронной почты.	Impossible de vérifier l'adresse e-mail.	이메일 주소를 확인할 수 없습니다.	غير قادر على التحقق من عنوان البريد الإلكتروني.
verify.success-msg	Email address verified.	Электронный адрес почты подтвержден.	Adresse e-mail vérifiée.	이메일 주소가 확인되었습니다.	عنوان البريد الإلكتروني التحقق منها.
unauthorized-msg	The user does not have the required rights to view this page.	Пользователь не обладает требуемыми правами для просмотра данной страницы.	L'utilisateur ne dispose pas des droits requis pour visualiser cette page.	사용자에게 이 페이지를 보는 데 필요한 권한이 없습니다.	ليس لدى المستخدم الحقوق المطلوبة لعرض هذه الصفحة.
ban.msg	restrictions have been placed on your account	на ваш аккаунт были наложены ограничения	des restrictions ont été placées sur votre compte	귀하의 계정에 제한이 적용되었습니다	تم وضع قيود على حسابك
ban.one	1. You cannot add, delete or change movies in your collection.	1. Вы не можете добавлять, удалять или изменять фильмы в вашей коллекции.	1. Vous ne pouvez pas ajouter, supprimer ou modifier des films dans votre collection.	1. 컬렉션에 영화를 추가, 삭제, 변경할 수 없습니다.	1. لا يمكنك إضافة أو حذف أو تغيير الأفلام في مجموعتك.
ban.two	2. Viewing the statistics page is not available.	2. Недоступен просмотр страницы со статистикой.	2. L'affichage de la page des statistiques n'est pas disponible.	2. 통계 페이지를 볼 수 없습니다.	2. عرض صفحة الإحصائيات غير متاح.
ban.three	3. Viewing the page with a list of users is not available.	3. Недоступен просмотр страницы со списком пользователей.	3. L'affichage de la page avec une liste d'utilisateurs n'est pas disponible.	3. 사용자 목록이 포함된 페이지를 볼 수 없습니다.	3. عرض الصفحة مع قائمة المستخدمين غير متاح.
ban.msg-small	Your Account is Banned	Ваш Аккаунт Заблокирован	Votre compte est banni	귀하의 계정이 금지되었습니다	حسابك محظور
boundary.t	An error has occurred	Произошла ошибка	Une erreur est survenue	오류가 발생했습니다	حدث خطأ
boundary.b	Please refresh the page or return to the home page to try again.	Пожалуйста, обновите страницу или вернитесь на главную, чтобы повторить попытку.	Veuillez actualiser la page ou revenir à la page d'accueil pour réessayer.	페이지를 새로 고치거나 홈 페이지로 돌아가서 다시 시도하세요.	يرجى تحديث الصفحة أو العودة إلى الصفحة الرئيسية للمحاولة مرة أخرى.
toast.error-default	Unknown error	Неизвестная ошибка	Erreur inconnue	알수없는 오류	خطأ غير معروف
toast.error-server-default	Server error	Ошибка сервера	Erreur du serveur	서버 오류	خطأ في الخادم
toast.error-fetch	Unable to connect to server	Невозможно подключиться к серверу	Incapable de se connecter au serveur	서버에 연결할 수 없습니다	غير قادر على الإتصال بالسيرفر
toast.book-add	Added to "Will Watch"	Добавлено в "Буду Смотреть	Ajouté à « Will Watch »	"관찰하겠습니다"에 추가되었습니다.	تمت الإضافة إلى "سوف أشاهد"
toast.book-remove	Removed from bookmarks	Убрано из закладок	Supprimé des favoris	북마크에서 삭제됨	تمت إزالتها من الإشارات المرجعية
toast.hidden-add	The film will not be displayed in the general feed and will not be taken into account in statistics	Фильм не будет отображаться в общей ленте и учитываться в статистике	Le film ne sera pas affiché dans le flux général et ne sera pas pris en compte dans les statistiques	영화는 일반 피드에 표시되지 않으며 통계에 반영되지 않습니다.	لن يتم عرض الفيلم في البث العام ولن يؤخذ في الاعتبار في الإحصائيات
toast.hidden-remove	The film is again displayed in the general feed and taken into account in statistics	Фильм снова отображается в общей ленте и учитывается в статистике	Le film est à nouveau affiché dans le flux général et pris en compte dans les statistiques	영화는 다시 일반 피드에 표시되고 통계에 반영됩니다.	يتم عرض الفيلم مرة أخرى في الخلاصة العامة ويتم أخذه في الاعتبار في الإحصائيات
toast.user-score-add	You have given a {{score}}	Вы поставили оценку {{score}}	Vous avez donné un {{score}}	귀하는 {{score}}점을 받았습니다	لقد أعطيت {{النتيجة}}
toast.user-score-remove	Rating removed	Оценка удалена	Note supprimée	등급이 삭제됨	تمت إزالة التقييم
toast.remove-book	<movieLink>{{title}}</movieLink> removed from bookmarks	<movieLink>{{title}}</movieLink> удален из закладок	<movieLink>{{title}}</movieLink> supprimé des favoris	<movieLink>{{title}}</movieLink>가 북마크에서 삭제되었습니다.	تمت إزالة <movieLink>{{title}}</movieLink> من الإشارات المرجعية
toast.remove-hidden	<movieLink>{{title}}</movieLink> is displayed again in the general feed	<movieLink>{{title}}</movieLink> снова отображается в общей ленте	<movieLink>{{title}}</movieLink> s'affiche à nouveau dans le flux général	<movieLink>{{title}}</movieLink>가 일반 피드에 다시 표시됩니다.	يتم عرض <movieLink>{{title}}</movieLink> مرة أخرى في الموجز العام
toast.remove-rating	<movieLink>{{title}}</movieLink> rating successfully removed	Оценка у <movieLink>{{title}}</movieLink> успешно удалена	La note <movieLink>{{title}}</movieLink> a été supprimée avec succès	<movieLink>{{title}}</movieLink> 등급이 삭제되었습니다.	تمت إزالة تقييم <movieLink>{{title}}</movieLink> بنجاح
toast.remove-all	<movieLink>{{title}}</movieLink> removed from all categories	<movieLink>{{title}}</movieLink> удален из всех категорий	<movieLink>{{title}}</movieLink> supprimé de toutes les catégories	<movieLink>{{title}}</movieLink>가 모든 카테고리에서 삭제되었습니다.	تمت إزالة <movieLink>{{title}}</movieLink> من جميع الفئات
toast.copy	Link copied	Ссылка скопирована	Lien copié	링크가 복사되었습니다	تم نسخ الرابط
toast.update-name	Name updated	Имя обновлено	Nom mis à jour	이름이 업데이트되었습니다.	تم تحديث الاسم
toast.update-password	Password updated	Пароль обновлен	Mot de passe mis à jour	비밀번호가 업데이트되었습니다.	تم تحديث كلمة السر
toast.update-session	Session deleted	Сессия удалена	Séance supprimée	세션이 삭제되었습니다.	تم حذف الجلسة
toast.update-photo	Profile photo updated	Фото профиля обновлено	Photo de profil mise à jour	프로필 사진이 업데이트되었습니다.	تم تحديث صورة الملف الشخصي
toast.update-photo-delete	Profile photo removed	Фото профиля удалено	Photo de profil supprimée	프로필 사진이 삭제되었습니다.	تمت إزالة صورة الملف الشخصي
toast.update-role	Role changed to {{role}}	Роль изменена на {{role}}	Le rôle a été remplacé par {{role}}	역할이 {{role}}(으)로 변경되었습니다.	تم تغيير الدور إلى {{role}}
toast.update-user-loading	User update...	Обновление пользователя...	Mise à jour utilisateur...	사용자 업데이트...	تحديث المستخدم...
toast.update-user-success	User {{name}} updated successfully	Пользователь {{name}} успешно обновлен	L'utilisateur {{name}} a été mis à jour avec succès	사용자 {{name}}이(가) 업데이트되었습니다.	تم تحديث المستخدم {{name}} بنجاح
toast.update-user-error	Error during query execution	Ошибка во время выполнения запроса	Erreur lors de l'exécution de la requête	쿼리 실행 중 오류	حدث خطأ أثناء تنفيذ الاستعلام
toast.ban-user-success	User {{name}} has been successfully blocked	Пользователь {{name}} успешно заблокирован	L'utilisateur {{name}} a été bloqué avec succès	사용자 {{name}}이(가) 성공적으로 차단되었습니다.	تم حظر المستخدم {{name}} بنجاح
toast.unban-user-success	User {{name}} successfully unblocked	Пользователь {{name}} успешно разблокирован	L'utilisateur {{name}} a été débloqué avec succès	사용자 {{name}}이(가) 성공적으로 차단을 해제했습니다.	تم إلغاء حظر المستخدم {{name}} بنجاح
no-film-msg	There are no items to display	Нет элементов для отображения	Il n'y a pas d'éléments à afficher	표시할 항목이 없습니다.	لا توجد عناصر لعرضها
error-film-msg	An error occurred while loading	При загрузке возникла ошибка	Une erreur s'est produite lors du chargement	로드하는 동안 오류가 발생했습니다.	حدث خطأ أثناء التحميل
end-box-msg	You have reached the end of the list	Вы достигли конца списка	Vous êtes arrivé à la fin de la liste	목록의 끝에 도달했습니다.	لقد وصلت إلى نهاية القائمة
btn.save	Save	Сохранить	Sauvegarder	구하다	يحفظ
btn.back	Back	Назад	Dos	뒤쪽에	خلف
btn.choose	Choose	Выбрать	Choisir	선택하다	يختار
btn.log-in	Log in	Войти	Se connecter	로그인	تسجيل الدخول
btn.log-out	Log out	Выйти	Se déconnecter	로그 아웃	تسجيل خروج
btn.delete	Delete	Удалить	Supprimer	삭제	يمسح
btn.cancel	Cancel	Отмена	Annuler	취소	يلغي
btn.apply	Apply	Применить	Appliquer	적용하다	يتقدم
btn.search	Search	Поиск	Recherche	찾다	يبحث
btn.search-ext	Extended search	Расиширенный поиск	Recherche étendue	확장검색	بحث موسع
btn.block	Ban	Заблокировать	Interdire	반	المنع
btn.unblock	Unban	Разблокировать	Annuler le bannissement	금지 해제	رفع الحظر
btn.change	Change	Изменить	Changement	변화	يتغير
btn.confirm	Confirm	Подтвердить	Confirmer	확인하다	يتأكد
btn.end-all-sessions	End all sessions	Завершить все сеансы	Terminer toutes les sessions	모든 세션 종료	إنهاء كافة الجلسات
btn.end	End	Заверишть	Fin	끝	نهاية
btn.register	Create new account	Зарегистрироваться	Créer un nouveau compte	새 계정을 만들	انشاء حساب جديد
btn.recover	Recover password	Восстановить пароль	Récupérer mot de passe	비밀번호 복구	إستعادة كلمة المرور
btn.main	Go to Main	Перейти на главную	Aller à la page principale	메인으로 이동	اذهب إلى الرئيسية
btn.reload	Reload page	Перезагрузить страницу	Rafraîchir la page	페이지 새로고침	إعادة تحميل الصفحة
btn.to-kp	To Kinopoisk	На Кинопоиск	À Kinopoisk	키노포이스크행	إلى كينوبويسك
btn.view-whole-review	Show full review	Показать всю рецензию	Afficher l'avis complet	전체 리뷰 보기	عرض المراجعة الكاملة
user.email	E-mail address	Адрес электронной почты	Adresse e-mail	이메일 주소	عنوان البريد الإلكتروني
user.photo	User photo	Фото профиля	Photo de l'utilisateur	사용자 사진	صورة المستخدم
user.name	User name	Имя пользователя	Nom d'utilisateur	사용자 이름	اسم المستخدم
user.devices	Devices	Устройства	Dispositifs	장치	الأجهزة
user.role	Role	Роль	Rôle	역할	دور
user.password	Password	Пароль	Mot de passe	비밀번호	كلمة المرور
user.devices-all	Show all	Показать все	Afficher tout	모두 보이기	عرض الكل
user.password-change	Change the passwrod	Измените пароль	Changer le mot de passe	비밀번호 변경	تغيير كلمة المرور
user.created	Created	Создан	Créé	만들어진	مخلوق
user.updated	Last update	Последнее обновление	Dernière mise à jour	마지막 업데이트	اخر تحديث
user.email-y	Email address is verified	Адрес электронной почты подтвержден	L'adresse e-mail est vérifiée	이메일 주소가 확인되었습니다	تم التحقق من عنوان البريد الإلكتروني
user.email-n	Email addres is not verified	Адрес электронной почты не подтвержден	L'adresse e-mail n'est pas vérifiée	이메일 주소가 확인되지 않았습니다.	لم يتم التحقق من عناوين البريد الإلكتروني
user.photo-drag	Drag  the file	Перенесите файл	Faites glisser le fichier	파일을 드래그하세요.	اسحب الملف
user.photo-preview	Preview	Предпросмотр	Aperçu	시사	معاينة
user.photo-delete	Removal	Удаление	Suppression	제거	إزالة
user.photo-delete-msg	Are you sure you want to delete your profile photo?	Вы действительно хотите удалить фото профиля?	Êtes-vous sûr de vouloir supprimer votre photo de profil ?	프로필 사진을 삭제하시겠습니까?	هل أنت متأكد أنك تريد حذف صورة ملفك الشخصي؟
user.photo-format-msg	Supported formats: JPG, PNG, JPEG, WEBP	Поддерживаемые форматы: JPG, PNG, JPEG, WEBP	Formats pris en charge : JPG, PNG, JPEG, WEBP	지원되는 형식: JPG, PNG, JPEG, WEBP	التنسيقات المدعومة: JPG، PNG، JPEG، ويب
user.photo-size-msg	Minimum image size 250 x 250 pixels	Минимальный размер изображения 250 x 250 пикселей	Taille minimale de l'image 250 x 250 pixels	최소 이미지 크기 250 x 250픽셀	الحد الأدنى لحجم الصورة 250 × 250 بكسل
user.name-change-t	User Name	Имя Профиля	Nom d'utilisateur	사용자 이름	اسم المستخدم
user.name-change-l	Name	Имя	Nom	이름	اسم
user.name-change-p	Enter a new name	Введите новое имя пользователя	Entrez un nouveau nom	새 이름을 입력하세요.	أدخل اسمًا جديدًا
user.devices-current	Current device	Текущее устройство	Appareil actuel	현재 장치	الجهاز الحالي
user.devices-active	Active sessions	Активные сеансы	Sessions actives	활성 세션	جلسات نشطة
user.devices-active-empty	No active sessions found	Активных сеансов не найдено	Aucune session active trouvée	활성 세션을 찾을 수 없습니다.	لم يتم العثور على جلسات نشطة
user.devices-end-all-msg	Are you sure you want to end all sessions except the current one?	Вы действительно хотите завершить все сеансы, кроме текущего?	Êtes-vous sûr de vouloir mettre fin à toutes les sessions sauf celle en cours ?	현재 세션을 제외한 모든 세션을 종료하시겠습니까?	هل أنت متأكد أنك تريد إنهاء كافة الجلسات باستثناء الجلسة الحالية؟
user.devices-end-msg	Do you really want to end the session	Вы действительно хотите завершить сеанс	Voulez-vous vraiment terminer la session	정말로 세션을 종료하시겠습니까?	هل تريد حقاً إنهاء الجلسة؟
user.password-check	Confirm the password	Подтвердите пароль	Confirmez le mot de passe	비밀번호를 확인하세요	تأكيد كلمة المرور
user.password-check-msg	For security reasons, please enter your password to continue.	Исходя из соображений безопасности, для продолжения введите свой пароль.	Pour des raisons de sécurité, veuillez saisir votre mot de passe pour continuer.	보안상의 이유로 계속하려면 비밀번호를 입력하세요.	لأسباب أمنية، يرجى إدخال كلمة المرور الخاصة بك للمتابعة.
user.password-change-next	Change password	Изменить пароль	Changer le mot de passe	비밀번호 변경	تغيير كلمة المرور
user.password-change-next-new	New password	Новый пароль	Nouveau mot de passe	새 비밀번호	كلمة المرور الجديدة
user.role-change	Role change	Изменение роли	Changement de rôle	역할 변경	تغيير الدور
user.role-change-current	Current role	Текущая роль	Rôle actuel	현재 역할	الدور الحالي
user.role-change-new	Select a new role	Выберите новую роль	Sélectionnez un nouveau rôle	새 역할 선택	حدد دورًا جديدًا
user.photo-drop	Drop the file	Отпустите файл	Déposez le fichier	파일을 삭제하세요.	قم بإسقاط الملف
card.l-watch	Watch	Смотреть	Montre	보다	يشاهد
card.t-watch	Watch	Смотреть	Montre	보다	يشاهد
card.t-go	View	Перейти	Voir	보다	منظر
api.default-error	Film API error	Ошибка Film API	Erreur de l'API du film	영화 API 오류	خطأ في واجهة برمجة تطبيقات الفيلم
unauth.default-msg	The user does not have the required rights to view this page.	Пользователь не обладает требуемыми правами для просмотра данной страницы.	L'utilisateur ne dispose pas des droits requis pour visualiser cette page.	사용자에게 이 페이지를 보는 데 필요한 권한이 없습니다.	ليس لدى المستخدم الحقوق المطلوبة لعرض هذه الصفحة.
